,Year,Reporter,Import/Export,Partner,Description,Value_USD
55468,2000,United Kingdom,Import,Netherlands,Chemicals and pharmaceuticals,2247812160.0
31252,2000,Russian Federation,Export,Italy,"Minerals, stone, and their products",3843165174.0
55484,2000,USA,Import,Mexico,Miscellaneous food products,2247097642.0
1246,2000,USA,Export,Canada,Vehicles and their parts,37747758136.0
55564,2000,Switzerland,Export,USA,Chemicals and pharmaceuticals,2243446035.541
92280,2000,Netherlands,Export,Belgium,Vehicles and their parts,1321771936.0
92291,2000,Netherlands,Export,United Kingdom,Chemicals and pharmaceuticals,1321551933.0
30865,2000,Switzerland,Export,Italy,Metals,3883294442.1710005
30826,2000,Germany,Import,Czechia,"Machinery, appliances, and tools",3888002000.0
30997,2000,Sweden,Export,USA,"Machinery, appliances, and tools",3866853407.0
55327,2000,Italy,Import,France,Chemicals and pharmaceuticals,2253229595.959
55324,2000,Sweden,Import,Netherlands,"Machinery, appliances, and tools",2253315538.0
1225,2000,Canada,Export,USA,"Minerals, stone, and their products",38048087503.0
55049,2000,Norway,Export,Sweden,"Minerals, stone, and their products",2264390191.255
31614,2000,Thailand,Export,Singapore,"Machinery, appliances, and tools",3803536437.0
92139,2000,El Salvador,Import,USA,Miscellaneous food products,1323674053.43
55110,2000,Germany,Export,United Kingdom,plastics and rubber,2262005000.0
31507,2000,Poland,Import,Germany,"Machinery, appliances, and tools",3815301000.0
31499,2000,Italy,Import,Germany,Metals,3816017727.677
80003,2000,Singapore,Export,Ireland,"Machinery, appliances, and tools",1539932215.0
55150,2000,Brazil,Import,Germany,"Machinery, appliances, and tools",2260257511.0
31451,2000,Belgium,Import,France,"Machinery, appliances, and tools",3821945682.0
31440,2000,China,Import,Japan,Textiles and clothing,3823459122.0
31400,2000,Germany,Export,Italy,Unspecified,3827878000.0
31381,2000,USA,Import,Sweden,"Machinery, appliances, and tools",3829967005.0
31364,2000,Germany,Export,Hungary,"Machinery, appliances, and tools",3831475000.0
92187,2000,Italy,Export,Switzerland,Textiles and clothing,1323000756.743
55283,2000,Malaysia,Export,"Other Asia, nes","Machinery, appliances, and tools",2255318999.0
55673,2000,Rep. of Korea,Export,USA,Metals,2239095276.0
86704,2000,Switzerland,Export,United Kingdom,"Machinery, appliances, and tools",1413819904.3609998
30813,2000,Mexico,Import,Japan,"Machinery, appliances, and tools",3889590802.0
30810,2000,Switzerland,Export,USA,"Machinery, appliances, and tools",3890277430.081
56042,2000,USA,Export,France,Chemicals and pharmaceuticals,2225064210.0
56049,2000,USA,Import,Italy,Chemicals and pharmaceuticals,2224772621.0
30324,2000,USA,Export,Thailand,"Machinery, appliances, and tools",3945960661.0
86614,2000,Netherlands,Import,Germany,Paper and wood,1415249989.0
30304,2000,Rep. of Korea,Export,Japan,"Minerals, stone, and their products",3948217694.0
56114,2000,Netherlands,Import,Germany,Chemicals and pharmaceuticals,2221831896.0
30259,2000,France,Export,Germany,Chemicals and pharmaceuticals,3953906749.0
56127,2000,USA,Import,Brazil,Metals,2221361354.0
56143,2000,Germany,Import,Netherlands,plastics and rubber,2220920000.0
86591,2000,United Kingdom,Export,France,Metals,1415619172.0
56159,2000,United Kingdom,Import,France,Miscellaneous food products,2220363791.0
30178,2000,China,Export,Japan,Animal products,3962932298.0
56186,2000,Belgium,Export,Netherlands,Metals,2219333663.0
86580,2000,Singapore,Import,Japan,Metals,1415901481.0
30114,2000,USA,Import,Japan,Arts and games products,3971210351.0
56029,2000,Türkiye,Import,Russian Federation,"Minerals, stone, and their products",2225344546.0
28669,2000,Czechia,Import,Germany,"Machinery, appliances, and tools",4148775786.0
86632,2000,United Kingdom,Import,Spain,"Machinery, appliances, and tools",1414869812.0
55939,2000,France,Import,Switzerland,"Machinery, appliances, and tools",2229216570.0
30789,2000,Germany,Export,Netherlands,Vehicles and their parts,3892475000.0
55730,2000,USA,Import,Thailand,Animal products,2237139656.0
86690,2000,France,Export,Belgium,Textiles and clothing,1413972890.0
92324,2000,Hungary,Import,Japan,"Machinery, appliances, and tools",1320894000.0
30735,2000,France,Import,China,"Machinery, appliances, and tools",3899181463.0
55799,2000,Belgium,Export,Italy,"Machinery, appliances, and tools",2233909470.0
30651,2000,USA,Import,Switzerland,"Machinery, appliances, and tools",3908504185.0
30647,2000,Belgium,Import,United Kingdom,"Machinery, appliances, and tools",3909505208.0
55817,2000,Germany,Import,Poland,"Machinery, appliances, and tools",2233302000.0
30584,2000,USA,Import,Mexico,Furniture and decor,3916838967.0
30547,2000,Nigeria,Export,India,"Minerals, stone, and their products",3920189737.0
55887,2000,France,Import,Algeria,"Minerals, stone, and their products",2230864483.0
55891,2000,Canada,Import,"Other Asia, nes","Machinery, appliances, and tools",2230745160.0
30494,2000,Mexico,Export,USA,Furniture and decor,3926861529.0
1287,2000,USA,Import,China,"Machinery, appliances, and tools",36877251464.0
55971,2000,"China, Hong Kong SAR",Import,United Kingdom,"Machinery, appliances, and tools",2227709006.0
60665,2000,Rep. of Korea,Export,Japan,Metals,2055509068.0
92822,2000,Japan,Import,Russian Federation,Animal products,1312421897.0
86311,2000,Brazil,Import,Argentina,Vehicles and their parts,1421012543.0
59592,2000,Iran,Export,Italy,"Minerals, stone, and their products",2091422003.0
1649,2000,Japan,Import,USA,"Machinery, appliances, and tools",31629314587.0
93420,2000,Brazil,Import,Argentina,Miscellaneous food products,1303312517.0
59705,2000,China,Export,Japan,Plant products,2087305954.0
59754,2000,Germany,Export,Mexico,"Machinery, appliances, and tools",2085897000.0
59767,2000,Germany,Import,Sweden,Paper and wood,2085399000.0
26151,2000,Germany,Import,Norway,"Minerals, stone, and their products",4496616000.0
93476,2000,Canada,Import,United Kingdom,Vehicles and their parts,1302436607.0
25843,2000,USA,Import,China,Metals,4540142318.0
25835,2000,China,Import,Japan,Metals,4541776206.0
25808,2000,United Kingdom,Export,Spain,"Machinery, appliances, and tools",4545830733.0
25800,2000,China,Import,China,"Machinery, appliances, and tools",4546832659.0
25773,2000,USA,Import,United Kingdom,"Minerals, stone, and their products",4551272570.0
59872,2000,Saudi Arabia,Import,USA,"Machinery, appliances, and tools",2082549803.0
93477,2000,Germany,Export,Italy,Textiles and clothing,1302410000.0
93395,2000,India,Import,USA,"Machinery, appliances, and tools",1303665101.0
26219,2000,Germany,Export,Special Categories,Unspecified,4486225000.0
26237,2000,Singapore,Import,China,"Machinery, appliances, and tools",4483735421.0
59242,2000,USA,Import,Brazil,Vehicles and their parts,2104781387.0
59276,2000,Spain,Export,Portugal,"Machinery, appliances, and tools",2103324769.225
59279,2000,USA,Export,Germany,Chemicals and pharmaceuticals,2103241751.0
79645,2000,France,Import,Netherlands,Chemicals and pharmaceuticals,1546731423.0
26469,2000,Italy,Export,France,Vehicles and their parts,4449668703.351
93343,2000,Belgium,Import,Sweden,Vehicles and their parts,1304345678.0
26395,2000,Thailand,Export,Japan,"Machinery, appliances, and tools",4458836399.0
26375,2000,Rep. of Korea,Export,"China, Hong Kong SAR","Machinery, appliances, and tools",4461853772.0
26356,2000,USA,Import,Russian Federation,Metals,4463791217.0
79636,2000,United Kingdom,Import,Netherlands,Animal products,1546928860.0
85860,2000,Germany,Export,Norway,"Machinery, appliances, and tools",1429272000.0
26302,2000,Thailand,Import,USA,"Machinery, appliances, and tools",4472254878.0
59485,2000,Thailand,Export,USA,Animal products,2095450602.0
85835,2000,Japan,Export,Saudi Arabia,Vehicles and their parts,1429755782.0
26247,2000,Japan,Import,USA,Vehicles and their parts,4482364992.0
25731,2000,France,Import,Germany,Chemicals and pharmaceuticals,4556759358.0
59214,2000,Belgium,Export,France,"Minerals, stone, and their products",2105770871.0
25678,2000,Japan,Import,Singapore,"Machinery, appliances, and tools",4564929321.0
81368,2000,USA,Import,"Other Asia, nes",Vehicles and their parts,1512679013.0
25066,2000,United Kingdom,Import,Rep. of Korea,"Machinery, appliances, and tools",4656141969.0
60469,2000,USA,Import,China,Vehicles and their parts,2062279147.0
79525,2000,Rep. of Korea,Import,USA,Animal products,1549163528.0
79524,2000,France,Export,USA,Metals,1549167966.0
24949,2000,China,Export,USA,Arts and games products,4672791655.0
24943,2000,Italy,Export,United Kingdom,"Machinery, appliances, and tools",4673782121.898
60386,2000,Japan,Import,USA,Metals,2065256670.0
85619,2000,USA,Import,Japan,"Minerals, stone, and their products",1433297029.0
60594,2000,"China, Hong Kong SAR",Export,Germany,Textiles and clothing,2058225743.0
60609,2000,USA,Import,Switzerland,Chemicals and pharmaceuticals,2057736809.0
24789,2000,Belgium,Export,Germany,Vehicles and their parts,4698018953.0
99446,2000,Poland,Export,Germany,Furniture and decor,1215561000.0
60623,2000,Germany,Import,France,Miscellaneous food products,2057213000.0
24770,2000,Sweden,Import,Germany,"Machinery, appliances, and tools",4699889412.0
60554,2000,Belgium,Export,USA,Chemicals and pharmaceuticals,2059310346.0
85649,2000,USA,Import,Brazil,Textiles and clothing,1432951706.0
25125,2000,France,Import,Germany,Metals,4647342899.0
25129,2000,Germany,Export,Czechia,"Machinery, appliances, and tools",4646272000.0
25606,2000,Ireland,Export,Germany,"Machinery, appliances, and tools",4572879316.802
59994,2000,Germany,Import,Finland,Paper and wood,2078472000.0
60002,2000,Belgium,Export,USA,"Machinery, appliances, and tools",2078209959.0
25576,2000,Germany,Export,Poland,"Machinery, appliances, and tools",4577410000.0
81371,2000,Netherlands,Export,Germany,Textiles and clothing,1512586122.0
25546,2000,China,Import,"China, Hong Kong SAR","Machinery, appliances, and tools",4581321906.0
93553,2000,Switzerland,Export,USA,Textiles and clothing,1301085215.765
93567,2000,India,Import,Saudi Arabia,"Minerals, stone, and their products",1300903229.0
60097,2000,Rep. of Korea,Export,Philippines,"Machinery, appliances, and tools",2074976875.0
25445,2000,Germany,Export,United Kingdom,Unspecified,4598839000.0
85678,2000,France,Export,Italy,"Minerals, stone, and their products",1432558452.0
25232,2000,Italy,Export,Germany,Vehicles and their parts,4631184447.6050005
25153,2000,"China, Hong Kong SAR",Import,Rep. of Korea,"Machinery, appliances, and tools",4642833524.0
25133,2000,USA,Import,Japan,Unspecified,4645417719.0
79539,2000,Germany,Import,Czechia,Metals,1548837000.0
25631,2000,Rep. of Korea,Import,United Arab Emirates,"Minerals, stone, and their products",4570848646.0
26571,2000,Japan,Export,France,"Machinery, appliances, and tools",4435807800.0
59170,2000,Germany,Export,Netherlands,plastics and rubber,2107750000.0
59150,2000,Malaysia,Export,United Kingdom,"Machinery, appliances, and tools",2108432413.0
28180,2000,USA,Import,Israel,"Machinery, appliances, and tools",4206797101.0
28104,2000,Spain,Export,Germany,Vehicles and their parts,4217529983.964
57836,2000,"China, Hong Kong SAR",Import,China,"Minerals, stone, and their products",2155924689.0
28005,2000,Canada,Export,USA,Miscellaneous food products,4230349974.0
57964,2000,Singapore,Export,United Kingdom,"Machinery, appliances, and tools",2150658058.0
27871,2000,Spain,Import,Italy,"Machinery, appliances, and tools",4250465430.0250006
86237,2000,United Kingdom,Import,France,Metals,1422460202.0
58028,2000,Germany,Export,Special Categories,"Minerals, stone, and their products",2148122000.0
27773,2000,Japan,Export,Australia,Vehicles and their parts,4267280128.0
93028,2000,Japan,Export,India,"Machinery, appliances, and tools",1309313958.0
27730,2000,Germany,Import,Italy,Textiles and clothing,4272531000.0
27729,2000,Germany,Export,France,Metals,4272536000.0
27715,2000,Hungary,Import,Germany,"Machinery, appliances, and tools",4273591000.0
93047,2000,Netherlands,Import,Belgium,Metals,1309002408.0
27847,2000,Japan,Import,Germany,Vehicles and their parts,4255325212.0
92919,2000,United Kingdom,Import,France,plastics and rubber,1310777208.0
28241,2000,France,Export,Germany,Metals,4199755207.0
57664,2000,China,Import,"China, Hong Kong SAR",Textiles and clothing,2162222289.0
57392,2000,Germany,Import,United Kingdom,Metals,2172322000.0
57408,2000,China,Import,United Kingdom,"Machinery, appliances, and tools",2171899979.0
92840,2000,USA,Import,France,Metals,1312047989.0
28576,2000,USA,Import,India,Metals,4158695379.0
57438,2000,Germany,Export,Brazil,"Machinery, appliances, and tools",2170791000.0
28541,2000,United Kingdom,Import,Italy,"Machinery, appliances, and tools",4163125851.0
57510,2000,Germany,Export,Rep. of Korea,"Machinery, appliances, and tools",2168256000.0
57525,2000,Brazil,Import,USA,Chemicals and pharmaceuticals,2167476853.0
28415,2000,United Kingdom,Export,Belgium,Metals,4177849902.0
28412,2000,Belgium,Import,USA,"Machinery, appliances, and tools",4178161476.0
28393,2000,USA,Export,Mexico,Chemicals and pharmaceuticals,4181178535.0
57614,2000,Belgium,Export,Netherlands,Chemicals and pharmaceuticals,2164317584.0
28318,2000,"Other Asia, nes",Export,Netherlands,"Machinery, appliances, and tools",4190143624.0
28315,2000,Ireland,Export,USA,"Machinery, appliances, and tools",4190434467.038
28288,2000,USA,Import,Colombia,"Minerals, stone, and their products",4193987451.0
58235,2000,Spain,Import,Japan,"Machinery, appliances, and tools",2140605436.515
58243,2000,Italy,Export,United Kingdom,Textiles and clothing,2140284085.3249998
58320,2000,USA,Import,Rep. of Korea,Metals,2137416759.0
86114,2000,Spain,Import,Saudi Arabia,"Minerals, stone, and their products",1424835981.839
26994,2000,Japan,Import,Thailand,"Machinery, appliances, and tools",4376055462.0
26982,2000,Germany,Export,France,Chemicals and pharmaceuticals,4377447000.0
26971,2000,Belgium,Export,France,Metals,4378762759.0
58825,2000,Spain,Import,France,Metals,2119809606.0089998
85986,2000,Japan,Import,USA,Arts and games products,1426962438.0
58915,2000,Finland,Import,Russian Federation,"Minerals, stone, and their products",2116499005.0
58970,2000,Germany,Import,Czechia,Vehicles and their parts,2114681000.0
58997,2000,Germany,Import,Austria,Metals,2113702000.0
26776,2000,Colombia,Export,USA,"Minerals, stone, and their products",4407834016.0
85943,2000,Thailand,Export,Malaysia,"Machinery, appliances, and tools",1427783701.0
26737,2000,"Other Asia, nes",Export,Singapore,"Machinery, appliances, and tools",4412328458.0
59098,2000,Spain,Import,Italy,Vehicles and their parts,2110148950.756
79657,2000,Spain,Import,Italy,Metals,1546548868.951
79654,2000,France,Import,Spain,Plant products,1546582312.0
26654,2000,France,Export,Italy,Vehicles and their parts,4424118829.0
58782,2000,Germany,Import,Switzerland,Chemicals and pharmaceuticals,2121585000.0
57374,2000,Philippines,Export,USA,Textiles and clothing,2172960829.0
86012,2000,Germany,Export,Poland,Vehicles and their parts,1426531000.0
58692,2000,Brazil,Export,USA,Metals,2124549957.0
86106,2000,Germany,Import,Italy,Chemicals and pharmaceuticals,1424985000.0
86089,2000,Germany,Export,South Africa,"Machinery, appliances, and tools",1425179000.0
27332,2000,Algeria,Export,Italy,"Minerals, stone, and their products",4326589155.0
86072,2000,Thailand,Export,"Other Asia, nes","Machinery, appliances, and tools",1425523592.0
86070,2000,Finland,Import,Japan,"Machinery, appliances, and tools",1425536462.0
86063,2000,Germany,Import,Netherlands,Vehicles and their parts,1425657000.0
58568,2000,Malaysia,Import,Singapore,"Minerals, stone, and their products",2128653713.0
93147,2000,Singapore,Import,Iran,"Minerals, stone, and their products",1307242567.0
86062,2000,Japan,Export,Spain,"Machinery, appliances, and tools",1425734861.0
27241,2000,USA,Export,Belgium,"Machinery, appliances, and tools",4340475209.0
86059,2000,Sweden,Export,Italy,"Machinery, appliances, and tools",1425748306.0
86058,2000,Germany,Export,Netherlands,"Minerals, stone, and their products",1425750000.0
1564,2000,"China, Hong Kong SAR",Export,China,"Machinery, appliances, and tools",32503348883.0
58631,2000,France,Export,United Kingdom,Miscellaneous food products,2126466433.0
